Rank,MO,Parameter ID,Parameter Name,Cells Changed,Pct Common Cells,Common Cells,Distinct Transitions,Change Type,Likely KPI Impact,Top Value Changes (Pre → Post),Default Value,Recommended Value,Meaning,Impact on Radio Network Performance
1,GCELLHOBASIC,LTESAISAC,LTE SAI SAC,24627,99.24%,24816,580,Network-wide bulk change,SRVCC HO / CS continuity (VoLTE→GSM),0 → 15 (24046); 103 → 15 (3); 45567 → 15 (1); 41686 → 15 (1); 29095 → 15 (1); 48313 → 15 (1); 48543 → 15 (1); 41583 → 15 (1),0,None,"SAC parameter in SAI for an SRVCC handover. The BSC interprets the handover request message as an SRVCC handover request when all the following conditions are met:
""SRVCCHOEN"" in the ""SET GCELLHOBASIC"" command is set to YES(Yes). 
The source cell ID type in the incoming BSC handover request message is SAI.
The values of ""LTE SAI MCC"", ""LTE SAI MNC"", ""LTE SAI LAC"", ""LTE SAI SAC"" for the source cell carried in the incoming BSC handover request message are consistent with those configured on the BSC.",None
2,GCELLHOBASIC,LTESAILAC,LTE SAI LAC,24624,99.23%,24816,13,Network-wide bulk change,SRVCC HO / CS continuity (VoLTE→GSM),1 → 15000 (24046); 365 → 15000 (144); 363 → 15000 (135); 78 → 15000 (49); 79 → 15000 (48); 368 → 15000 (45); 543 → 15000 (42); 541 → 15000 (30),1,None,"LAC parameter in SAI for an SRVCC handover. The BSC interprets the handover request message as an SRVCC handover request when all the following conditions are met:
""SRVCCHOEN"" in the ""SET GCELLHOBASIC"" command is set to YES(Yes). 
The source cell ID type in the incoming BSC handover request message is SAI.
The values of ""LTE SAI MCC"", ""LTE SAI MNC"", ""LTE SAI LAC"", ""LTE SAI SAC"" for the source cell carried in the incoming BSC handover request message are consistent with those configured on the BSC.",None
3,GCELLCCCH,INTACESCONGCTRLSW,Intelligent Access Congest Ctrl Switch,24541,98.89%,24816,1,Network-wide bulk change,CSSR / SDCCH (access delay); possible SDCCH drop,OFF → ON (24541),OFF(Off),OFF(Off),"Whether to enable the intelligent access congestion control function. When this parameter is set to ON(On), this function is enabled. The BSC dynamically adjusts the SDCCH access interval (location update) and initial uplink PS access interval to relieve network congestion. When this parameter is set to OFF(Off), this function is disabled.",Setting this parameter to ON(On) increases the SDCCH access interval (location update) and initial uplink PS access interval and decreases the SDCCH and uplink TBF congestion rates.
4,GCELLCCCH,INTACESCONGCTRLTHRES,Intelligent Access Congest Ctrl Thres.,24541,98.89%,24816,1,Network-wide bulk change,CSSR / SDCCH (access delay); possible SDCCH drop,(empty) → 5 (24541),20,20,Threshold for triggering intelligent access congestion control. This parameter is used to check the congestion status of the location update SDCCH or uplink initial PS access.,Setting this parameter to a small value decreases the SDCCH and uplink TBF congestion rates.
5,GCELLCCCH,INTACESCONGCTRLTIMER1,Intelligent Access Congest Ctrl Timer 1,24541,98.89%,24816,1,Network-wide bulk change,CSSR / SDCCH (access delay); possible SDCCH drop,(empty) → 1 (24541),2,2,"Increased value for timer T3122. This parameter is used with ""IntAcesCongCtrlThres"" to dynamically specify the increase of the cell access interval. 
The BSC starts the timer specified by this parameter when an immediate assignment fails but this timer is not started. 
If the timer specified by this parameter has not expired, the increased T3122 value remains unchanged. 
If the timer specified by this parameter expires, the BSC stops the timer. If the congestion rate of SDCCH access (location update) or initial uplink PS access is greater than or equal to the value of ""IntAcesCongCtrlThres"" within the duration specified by the timer, the value of T3122 for SDCCH or PDCH access is incremented by 1. Otherwise, the increased T3122 value remains unchanged.","Setting this parameter to a small value decreases the SDCCH congestion rate and uplink TBF congestion rate, but increases the location update and uplink initial PS access intervals."
6,GCELLCCCH,INTACESCONGCTRLTIMER2,Intelligent Access Congest Ctrl Timer 2,24541,98.89%,24816,1,Network-wide bulk change,CSSR / SDCCH (access delay); possible SDCCH drop,(empty) → 100 (24541),5,5,"Decreased value for timer T3122. This parameter is used with ""IntAcesCongCtrlThres"" to dynamically specify the decrease of the cell access interval. 
The BSC automatically starts the timer specified by this parameter when the timer specified by ""IntAcesCongCtrlTimer1"" starts. 
If the timer specified by this parameter has not expired, the decreased T3122 value remains unchanged. 
When the timer specified by this parameter expires, if the congestion rate of SDCCH access (location update) or initial uplink PS access is less than the value of ""IntAcesCongCtrlThres"" within the duration specified by this timer, the value of T3122 for SDCCH access or initial uplink PS access is decreased by 1. Otherwise, the decreased T3122 value remains unchanged. 
When the decreased T3122 value is 0, the BSC stops the timer specified by this parameter. Otherwise, the BSC restarts this timer.",Setting this parameter to a large value increases the location update interval and uplink initial PS access interval.
7,GCELLTMR,IMMREJWAITINDTIMER,T3122,24175,97.42%,24816,1,Network-wide bulk change,CSSR / SDCCH (access delay); possible SDCCH drop,10 → 15 (24175),10,10,"Timer carried by the Wait Indication information element when the BSC sends an immediate assignment reject or DTM reject message to an MS.
After the MS receives the immediate assignment reject or DTM reject message, the MS does not reattempt to access the network until the timer expires.","If this parameter is set to a large value, an MS is difficult to access the network. If this parameter is set to a small value, the channel load increases and the network access rate for the MS decreases."
8,GCELLHOBASIC,LTESAIMCC,LTE SAI MCC,24046,96.90%,24816,2,Network-wide bulk change,SRVCC HO / CS continuity (VoLTE→GSM),000 → 470 (24043); 0 → 470 (3),000,None,"MCC parameter in SAI for an SRVCC handover. The BSC interprets the handover request message as an SRVCC handover request when all the following conditions are met:
""SRVCCHOEN"" in the ""SET GCELLHOBASIC"" command is set to YES(Yes). 
The source cell ID type in the incoming BSC handover request message is SAI.
The values of ""LTE SAI MCC"", ""LTE SAI MNC"", ""LTE SAI LAC"", ""LTE SAI SAC"" for the source cell carried in the incoming BSC handover request message are consistent with those configured on the BSC.",None
9,GCELLHOBASIC,LTESAIMNC,LTE SAI MNC,24046,96.90%,24816,2,Network-wide bulk change,SRVCC HO / CS continuity (VoLTE→GSM),000 → 02 (24043); 0 → 02 (3),000,None,"MNC parameter in SAI for an SRVCC handover. The BSC interprets the handover request message as an SRVCC handover request when all the following conditions are met:
""SRVCCHOEN"" in the ""SET GCELLHOBASIC"" command is set to YES(Yes). 
The source cell ID type in the incoming BSC handover request message is SAI.
The values of ""LTE SAI MCC"", ""LTE SAI MNC"", ""LTE SAI LAC"", ""LTE SAI SAC"" for the source cell carried in the incoming BSC handover request message are consistent with those configured on the BSC.",None
10,GCELLVAMOS,VFRLOADREUSETHD,Load Thld for Low Load VAMOS FR Demultiplexing,17187,69.26%,24816,1187,Per-cell / SON-like drift,TCH CDR / MOS (VAMOS quality),85 → 86 (527); 86 → 87 (386); 86 → 85 (358); 87 → 86 (324); 80 → 81 (317); 84 → 85 (294); 81 → 82 (290); 85 → 84 (264),30,30,Load threshold for triggering VAMOS FR channel demultiplexing due to low load in a common cell or in the overlaid or underlaid subcell of a concentric cell. VAMOS FR channel demultiplexing is triggered if the load in a common cell or in the overlaid or underlaid subcell of a concentric cell is less than the value of this parameter.,"The smaller the value of this parameter, the later the BSC makes a decision on VAMOS FR channel demultiplexing in a common cell or in the overlaid or underlaid subcell of a concentric cell. This helps alleviate cell congestion but decreases the MOS and increases the call drop rate more significantly."
